points,rebounds,assists,steals,blocks,3pts,height,num_championships,num_all_star_games,num_MVPs,num_final_mvps,HOF
17182,8124,3526,1197,1200,264,81,0,5,0,0,0
19591,6306,3094,1402,1390,1253,82,0,1,0,0,0
5216,6939,840,368,3064,0,88,0,1,0,0,0
5342,1785,4481,1229,87,16,70,0,0,0,0,0
8072,1742,4342,922,111,320,66,0,0,0,0,0
6858,2318,6726,1369,39,106,63,0,0,0,0,0
17949,2103,4402,1165,51,10,69,0,1,0,0,1
7712,2269,3394,1133,98,923,72,0,0,0,0,0
8425,1672,4536,785,76,154,72,0,0,0,0,0
11842,2405,4159,1280,161,1123,72,0,0,0,0,0
12810,6951,2141,701,1073,1,82,2,0,0,0,0
12884,7232,1985,606,1051,326,82,0,1,0,0,0
9810,3555,3119,817,290,731,82,3,0,0,0,0
12996,9443,2575,1143,1136,4,82,4,1,0,0,0
9206,3909,900,472,295,597,82,0,0,0,0,0
20049,6703,2283,885,627,227,82,0,4,0,0,0
15687,7352,2393,872,2027,8,82,0,3,0,0,0
15347,8834,1704,1185,1279,33,82,0,6,0,0,0
9895,5589,2140,1079,492,208,82,0,1,0,0,0
5763,3378,1002,249,267,3,82,0,1,0,0,0
5962,2308,977,412,253,51,82,0,0,0,0,0
11944,6509,1856,605,1605,8,82,0,0,0,0,0
3825,3506,431,393,421,5,82,3,0,0,0,0
11839,5867,1509,582,798,39,83,0,4,0,0,0
8706,8605,978,691,1270,0,83,0,1,0,0,0
9870,8409,1661,912,1116,8,83,1,0,0,0,0
13790,10400,2184,710,965,202,83,2,4,0,0,0
10805,6116,1199,702,1602,2,83,1,0,0,0,0
2882,1955,343,200,209,1,83,1,0,0,0,0
2819,1460,387,173,210,4,83,3,0,0,0,0
6191,4943,622,471,572,2,83,0,0,0,0,0
12195,3088,7392,2310,294,52,73,1,4,0,0,0
12658,2545,5777,726,92,1528,73,0,1,0,0,0
2272,868,1233,321,19,116,73,0,0,0,0,0
17955,2430,3319,910,223,213,74,0,1,0,0,0
12065,1991,6386,1187,71,100,74,2,2,0,0,0
14463,4084,7987,1616,215,195,75,0,0,0,0,0
15659,3646,5281,1536,226,828,75,0,1,0,0,0
15635,3221,5939,1058,163,672,75,3,1,0,0,0
4368,1283,3013,821,69,95,75,0,0,0,0,0
10882,4066,3929,2112,323,236,75,0,4,0,0,0
400,167,82,56,4,50,75,0,0,0,0,0
11964,2768,4199,1133,132,1002,76,2,1,0,0,0
12670,2617,1909,985,238,1245,76,0,0,0,0,0
9731,1645,1798,592,129,805,76,0,0,0,0,0
5871,2587,2126,912,164,388,77,0,0,0,0,0
176,64,34,19,10,0,77,0,0,0,0,0
2986,1045,804,333,66,79,77,0,0,0,0,0
7165,1983,1295,811,221,694,77,0,0,0,0,0
